source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
moteur,633057,jeep campass 2018 4x4,"199,000 MAD",MAD,2018,Diesel,Automatique,N/A,Casablanca,"160,600 km",Jeep,Compass,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633057/jeep-compass.html,2026-08-13 13:11:04
moteur,633056,BMW série 1,"115,000 MAD",MAD,2011,Diesel,Manuelle,N/A,Kenitra,0 km,BMW,Série 1,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Kenitra,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633056/bmw-serie-1.html,2026-08-13 13:11:04
moteur,633055,ford focus n9ia,"147,000 MAD",MAD,2018,Diesel,Manuelle,N/A,Meknes,"150,000 km",Ford,Focus,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Régulateur de vitesse, Vitres électriques, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Limiteur de vitesse, CD / MP3 / Bluetooth",Meknes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633055/ford-focus.html,2026-08-13 13:11:04
moteur,633054,Bmw X3 premiere main 2017 Xline,Appeler pour le prix,MAD,2017,Diesel,Automatique,N/A,Marrakech,"155,000 km",BMW,X3,5,N/A,N/A,8,N/A,État du véhicule,Marrakech,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633054/bmw-x3.html,2026-08-13 13:11:03
moteur,633053,Annonce Mercedes GLC 220 Diesel 2016,"285,000 MAD",MAD,2016,Diesel,Automatique,N/A,Rabat,"230,000 km",Mercedes-Benz,Classe GLC,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Rabat,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633053/mercedes-benz-classe-glc.html,2026-08-13 13:11:03
moteur,633052,toyota land cruiser,Appeler pour le prix,MAD,2013,Diesel,Manuelle,N/A,Marrakech,"500,000 km",Toyota,Land Cruiser,N/A,N/A,N/A,12,N/A,État du véhicule,Marrakech,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633052/toyota-land-cruiser.html,2026-08-13 13:11:03
moteur,633051,sandero 10/2022,"143,000 MAD",MAD,2023,Diesel,Manuelle,N/A,Casablanca,"100,000 km",Dacia,Sandero,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, Radar de recul, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633051/dacia-sandero.html,2026-08-13 13:11:03
moteur,633050,Dacia Sandero Diesel Manuelle 2016 à Sidi Bennour,"100,000 MAD",MAD,2016,Diesel,Manuelle,N/A,Autre,200 km,Dacia,Sandero,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Airbags, Fermeture centralisée, Vitres électriques, CD / MP3 / Bluetooth",Autre,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633050/dacia-sandero.html,2026-08-13 13:11:03
moteur,633049,Volkswagen Polo Diesel Manuelle 2018 à Salé,"110,000 MAD",MAD,2018,Diesel,Manuelle,N/A,Sale,"156,000 km",Volkswagen,Polo,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Vitres électriques, ESP, Navigation GPS, Radar de recul, Jantes",Sale,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633049/volkswagen-polo.html,2026-08-13 13:11:03
moteur,633048,فياط أونو إيصنص موديل 1996,"23,000 MAD",MAD,1996,Essence,Manuelle,N/A,Tan-Tan,0 km,Fiat,Uno,5,N/A,N/A,7,N/A,État du véhicule,Tan-Tan,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633048/fiat-uno.html,2026-08-13 13:11:02
moteur,633047,Honda Civic Diesel Manuelle 2015 à Bouznika,"130,000 MAD",MAD,2015,Diesel,Manuelle,N/A,Bouznika,"105,000 km",Honda,Civic,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Ordinateur de bord, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Bouznika,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633047/honda-civic.html,2026-08-13 13:11:02
moteur,633046,عين الشق الدار البيضاء,Appeler pour le prix,MAD,2015,Diesel,Manuelle,N/A,Casablanca,0 km,Renault,Megane,N/A,N/A,N/A,6,N/A,État du véhicule,Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633046/renault-megane.html,2026-08-13 13:11:02
moteur,633045,Bmw 520d full option,"395,000 MAD",MAD,2021,Diesel,Automatique,N/A,Casablanca,"106,000 km",BMW,Série 5,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633045/bmw-serie-5.html,2026-08-13 13:00:39
moteur,633044,Nissan qashqai,"240,000 MAD",MAD,2021,Diesel,Automatique,N/A,Marrakech,"80,000 km",Nissan,Qashqai,5,N/A,N/A,6,N/A,"État du véhicule, Climatisation, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, Intérieur cuir, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Marrakech,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633044/nissan-qashqai.html,2026-08-13 13:00:38
moteur,633043,Opel corsa model 2005,"53,000 MAD",MAD,2005,Diesel,Manuelle,N/A,Settat,"300,000 km",Opel,Corsa,5,N/A,N/A,5,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Jantes",Settat,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633043/opel-corsa.html,2026-08-13 13:00:38
moteur,633042,Renault super 5 Essence Model 87 dewana 94,"25,000 MAD",MAD,1987,Essence,Manuelle,N/A,Casablanca,"350,000 km",Renault,Super 5,5,N/A,N/A,6,N/A,"État du véhicule, Fermeture centralisée, Jantes, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633042/renault-super-5.html,2026-08-13 13:00:37
moteur,633041,190 normal,"70,000 MAD",MAD,1993,Diesel,Manuelle,N/A,Meknes,"550,000 km",Mercedes-Benz,190,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Airbags, Fermeture centralisée, ESP, Jantes",Meknes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633041/mercedes-benz-190.html,2026-08-13 13:00:37
moteur,633040,Audi Q5 Diesel Automatique 2022 à Casablanca,"385,000 MAD",MAD,2022,Diesel,Automatique,N/A,Casablanca,"123,000 km",Audi,Q5,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633040/audi-q5.html,2026-08-13 13:00:35
moteur,633038,Peugeot bipper a vendre,"68,000 MAD",MAD,2015,Diesel,Manuelle,N/A,Oujda,"260,000 km",Peugeot,Bipper,5,N/A,N/A,6,N/A,"État du véhicule, Fermeture centralisée, CD / MP3 / Bluetooth",Oujda,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633038/peugeot-bipper.html,2026-08-13 12:55:07
moteur,633037,Renault 19,Appeler pour le prix,MAD,1993,Diesel,Manuelle,N/A,Fes,"300,000 km",Renault,R19,N/A,N/A,N/A,6,N/A,"État du véhicule, Fermeture centralisée, CD / MP3 / Bluetooth",Fes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633037/renault-r19.html,2026-08-13 12:55:06
moteur,633036,Renault Captur Diesel Manuelle 2020 à Fès,"210,000 MAD",MAD,2020,Diesel,Manuelle,N/A,Fes,"55,000 km",Renault,Captur,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Fes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633036/renault-captur.html,2026-08-13 12:55:06
